,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,X1,isotopes,adduct,pcgroup,mtab_alm_UW_072718_04.mzML,mtab_alm_UW_072718_08.mzML,mtab_alm_UW_072718_81.mzML,mtab_alm_UW_072718_55.mzML,mtab_alm_UW_072718_59.mzML,mtab_alm_UW_072718_89.mzML,mtab_alm_UW_072718_106.mzML,mtab_alm_UW_072718_124.mzML,mtab_alm_UW_072718_158.mzML,mtab_alm_UW_072718_160.mzML,mtab_alm_UW_072718_161.mzML,mtab_alm_UW_072718_162.mzML
0,100.9335,100.9333,100.9335,576.3174,552.8055,599.5294,211,129,,,844,23.148448522966643,22.644853985679504,23.720327794224442,23.09269665033641,23.177478286400856,24.9497803867051,23.133079585036825,22.76961790116304,23.02289504128625,26.32941843258141,24.222754188780776,24.516136701237304
1,100.9335,100.9333,100.9336,442.2268,405.1618,453.5627,120,117,,,689,20.04886187813672,19.902931463884872,20.474280526184298,20.4533140230464,20.09555214885459,20.078304189895256,20.255711669956423,19.95690369188361,21.19734578065191,23.277730039922158,21.87531833305321,21.40424036651396
2,100.9335,100.9333,100.9336,472.8171,472.1918,473.4559,82,82,,,1016,20.619798991419213,20.32008532795603,20.267649200531476,21.107985983645673,20.980945359933536,20.904361600226004,20.94564001760953,20.647616617357375,21.213155696721376,20.428909952006897,19.721831901491015,20.834977949414363
3,100.9335,100.9334,100.9336,544.8142,527.9247,550.0281,60,58,,,750,22.486906301125998,22.032466832004303,22.857371864149744,22.17847393306616,19.35735179387203,22.230094545650203,21.797056520293374,21.767199715447973,22.01688821630827,22.3191092855825,22.32903518589071,21.98271308903511
4,100.9335,100.9333,100.9336,498.6934,481.0973,519.8977,139,126,[1][M]-,,786,21.668366088233498,21.04966392379026,22.58854757126599,21.335587585367918,18.52010842874252,19.898165164965224,20.651543030887744,21.200446493140035,21.095980281033803,23.663425925573712,21.21310249393823,22.527484936830135
5,101.9336,101.9335,101.9338,498.6035,451.5553,517.0637,384,95,[1][M+1]-,,786,19.13574670187109,19.67145319372772,19.67241808935028,20.715076212000877,20.086670802856776,20.39790920126023,19.590070613076772,18.49801883800633,20.54040222313746,19.03140611020907,19.354397857202848,19.012055248245023
6,101.9336,101.9336,101.9337,570.7637,536.8594,599.5294,505,91,,,61,21.51320039427637,19.426812594891725,21.458955820271452,20.31656079323659,20.302382635305502,21.849020683846746,20.21890736925352,20.92486476116249,20.636756365406793,20.32791752574851,20.54597406286693,20.708112399041006
7,101.9337,101.9336,101.9337,528.2847,517.6235,536.5633,149,81,,,224,16.342364970936032,19.601974658471143,20.581597132690014,19.375421533292418,19.162896332429717,19.22592008695983,19.966613940764372,19.181953991264315,20.0586399034909,20.2757213201451,20.235331023503374,19.532413436075256
8,102.9319,102.9317,102.932,567.7989,511.5254,595.1526,528,114,,,876,19.066467416894778,18.397770135812323,19.501187609001555,18.610801578674497,18.92568733401128,19.71031821850084,18.95065859460617,18.96660497565424,19.66499992932085,21.890313628029745,19.124069780762223,19.15941555770131
9,102.9487,102.9486,102.9488,1.6734,1.0222,47.6968,174,160,,,40,22.747485720305882,23.135618224930617,22.112435540075325,21.88211660595523,21.929009494644614,21.521168860695244,21.44592971913516,21.431883415065684,21.402893984068317,23.42185637709225,21.341638562801887,21.537965450280105
10,102.9567,102.9565,102.9568,556.0008,518.7948,583.3043,682,125,,,204,18.924311093973575,19.132496144296166,19.312299358068508,20.252604878126075,19.41641607735203,20.213401684419726,20.328197320146206,19.9905718595786,19.63273456471177,22.1415878779776,20.854908212619982,19.50671808958701
11,102.9568,102.9565,102.9569,30.1904,21.9536,31.272,141,141,,,454,20.141752917538142,19.547901621051192,19.43470942479508,22.415280107140617,22.487591116884577,23.274755881063253,22.89972137512255,22.889100268566704,22.752640833943914,24.24897919196987,22.4105439824835,22.13641926458594
12,102.9886,102.9886,102.9887,27.4603,24.9915,28.5632,137,137,,,3,0.0,0.0,0.0,19.425531455916534,14.647747330933896,15.236479868389795,15.534938376715191,15.097251592419315,13.00995618027522,15.528470307662028,15.264100489334117,14.682580377410323
13,103.04,103.0392,103.04,105.1442,70.0605,129.198,130,123,,,927,15.929066736250672,15.776116846529554,14.685626853408998,19.662515104985438,14.72716807806609,14.515698146166693,14.577013785029875,15.1960229287292,14.636759601767388,15.377547308873686,14.546406474269682,14.965698042330233
14,103.9313,103.9312,103.9313,132.2009,44.9883,217.695,173,17,,,117,18.756441629783914,18.252999645974324,19.420247487320186,18.217385263418855,18.579605235362116,19.037367966521124,19.123739704180142,18.746294840931597,19.441537203637825,20.111868614107223,19.41201826869419,18.683657308079578
15,104.9289,104.9288,104.9289,153.3106,44.6285,257.911,442,46,,,707,18.392778380569336,18.290791274577323,19.242932084390215,18.382741688444533,18.77101540222164,18.760181521251138,19.006345699707598,19.144058310370635,19.31049834207448,20.138563563611612,19.43692750014408,19.370733289391154
16,104.9538,104.9536,104.9539,30.1904,21.9536,31.272,151,151,,,455,18.881573862773113,18.210527359452673,17.89694387336251,21.130336610065868,21.101806616726453,21.925342074382588,21.552520278282316,21.503063476287146,21.416114404010973,22.926119448729942,21.02793822709334,20.775719433128117
17,105.0171,105.0171,105.0172,34.3192,33.0761,35.421,12,12,,,608,14.382752583153334,0.0,0.0,12.666731205065147,0.0,11.828936966542015,10.370253416902333,9.796267905650833,13.410862641153267,12.94707796264931,12.867512070056419,0.0
18,105.0193,105.0191,105.0194,38.4497,35.7312,40.1648,98,98,,,22,15.741796477081296,9.554846742556132,0.0,18.905781409627355,18.41104117976444,16.379725121921883,15.815861194455529,0.0,0.0,0.0,0.0,0.0
19,106.9808,106.9806,106.9809,40.5319,38.0199,49.1699,20,20,,,153,18.266216258552884,17.997401447247707,18.39136775796471,16.017877521274595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,107.0501,107.05,107.0502,287.5689,282.4235,288.7741,88,83,,,16,11.47587262045142,9.414389219736167,0.0,19.02862653469679,11.408877348848804,0.0,9.27991749465395,0.0,10.793967072197969,0.0,0.0,0.0
21,108.0216,108.0215,108.0216,305.814,304.2154,306.4663,58,58,,,925,0.0,9.676911512783686,0.0,14.05314750737423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,108.9019,108.9018,108.902,31.0462,29.1301,32.2076,103,103,,[M-H]- 109.914,9,0.0,0.0,0.0,19.40200790548241,12.21512985024874,14.223888924008241,14.240979710927137,12.774535357876154,14.152886976610867,13.214422033334763,13.710112739803497,11.609689307082695
23,108.9886,108.9885,108.9886,28.078,26.9655,28.5872,19,19,,[M-H]- 109.994 [M-H]- 109.994,3,0.0,0.0,0.0,16.155316359333828,10.610610079563688,14.486721272866061,13.356264357663717,12.770490682644102,13.421363636643028,14.425769319905385,14.907066453082884,14.845128953040719
24,109.0294,109.0294,109.0295,197.3328,196.2627,201.7137,11,11,,,80,12.996203202108411,11.403708521041741,12.423040088172252,16.348800959448962,11.537517260722986,10.254513912284724,11.478093633332227,9.844202311119455,10.390578172213665,9.442097298503777,9.27426107961465,9.990592431496006
25,110.8989,110.8988,110.8991,31.118,29.1301,32.3936,85,85,,,456,0.0,0.0,0.0,18.812878507626657,13.741925910224735,12.715646660027593,11.574500858014984,13.946602456315821,13.482596647683401,12.422821035395621,12.965846669329155,13.629862498383567
26,110.9757,110.9755,110.9758,38.8466,36.2533,40.1648,100,100,,,660,17.60970394095421,10.592829234861625,0.0,20.846786333291032,9.414740330172027,13.739697333000473,0.0,10.381271587569222,0.0,12.467853038774106,0.0,0.0
27,111.0087,111.0084,111.0089,58.9807,44.9795,63.6719,140,131,[2][M]-,,6,17.851322083773137,14.662821488066955,14.594276529818767,22.492731939236023,0.0,13.082191001342434,14.473566036973034,13.360763961220348,14.321665393460105,14.103500890252752,14.530058693039773,12.684258144406266
